consent_id,client_id,collecting_org_id,dsa_id,consent_type,status,legal_basis,purpose_codes,data_categories,sharing_scope_type,sharing_scope_agency_ids,given_date,effective_date,expiry_date,withdrawal_date,superseded_date,consent_source,obtained_by_user_id,witness_user_id,consent_document_ref,notes
CNS-00046,CLI-0028,ORG-0004,2,explicit,pending,pipa,"reporting,coordinated_access,case_mgmt","housing_status,financial,demographics",all_dsa_agencies,,2025-11-17,2025-11-17,2026-09-09,,,paper,USR-033,USR-019,DOC-92058,
CNS-00047,CLI-0029,ORG-0008,2,explicit,active,pipa,"reporting,coordinated_access","mental_health,financial",single_agency_only,,2025-04-28,2025-04-28,2027-03-22,,,paper,USR-010,Unknown,DOC-27914,
CNS-00048,CLI-0029,ORG-0008,2,explicit,active,pipa,"case_mgmt,referrals","substance_use,medical,housing_status,demographics",all_dsa_agencies,,2025-12-12,2025-12-12,2026-03-20,,,verbal_logged,USR-032,USR-027,DOC-48575,
CNS-00049,CLI-0030,ORG-0001,3,explicit,superseded,pipa_and_foippa,"coordinated_access,referrals,reporting","financial,mental_health",anonymous_only,,2025-01-27,2025-01-27,2026-06-19,,2025-07-12,paper,USR-008,,DOC-95344,
CNS-00050,CLI-0031,ORG-0007,2,explicit,active,foippa,"case_mgmt,reporting","demographics,mental_health",all_dsa_agencies,,2023-03-26,2023-03-26,2024-10-13,,,verbal_logged,USR-011,USR-008,DOC-49077,
CNS-00051,CLI-0032,ORG-0002,3,implied,active,pipa_and_foippa,research,"mental_health,substance_use",no_sharing,,2024-01-26,2024-01-26,2025-04-22,,,verbal_logged,USR-016,USR-017,DOC-29062,RED_FLAG: implied_consent_sensitive
CNS-00052,CLI-0033,ORG-0004,1,coordinated_access,active,pipa,"reporting,case_mgmt,referrals",demographics,all_dsa_agencies,,2025-10-28,2025-10-28,2027-02-22,,,digital_form,USR-034,,DOC-83439,
CNS-00053,CLI-0034,ORG-0002,2,coordinated_access,active,pipa,"case_mgmt,research,coordinated_access",medical,single_agency_only,,2026-01-19,2026-01-19,2027-03-08,,,portal,USR-017,,DOC-41678,
CNS-00054,CLI-0035,ORG-0007,1,coordinated_access,active,pipa,"case_mgmt,reporting",substance_use,no_sharing,,2023-03-03,2023-03-03,2024-01-02,,,verbal_logged,USR-030,,DOC-22487,
CNS-00055,CLI-0036,ORG-0001,2,coordinated_access,active,indigenous_governance,reporting,"substance_use,housing_status,mental_health,medical",single_agency_only,,2023-07-10,2023-07-10,2024-01-15,,,paper,USR-031,,DOC-61415,
CNS-00056,CLI-0037,ORG-0007,3,opt_out,active,indigenous_governance,reporting,mental_health,all_dsa_agencies,,2025-12-19,2025-12-19,2027-09-29,,,verbal_logged,USR-023,,DOC-15367,
CNS-00057,CLI-0037,ORG-0008,4,opt_out,active,pipa_and_foippa,"case_mgmt,reporting,coordinated_access","substance_use,financial,mental_health,family",limited_agencies,"ORG-0005,ORG-0004,ORG-0001,ORG-0009",2024-10-21,2024-10-21,2025-07-23,,,portal,USR-016,,DOC-95579,
CNS-00058,CLI-0038,ORG-0006,1,declined_anonymous,active,pipa,"coordinated_access,reporting,research","substance_use,financial,demographics",all_dsa_agencies,,2025-12-20,2025-12-20,2027-03-11,,,paper,USR-012,,DOC-47673,
CNS-00059,CLI-0038,ORG-0007,1,inherited,active,pipa_and_foippa,"reporting,case_mgmt","medical,demographics",limited_agencies,"ORG-0004,ORG-0007,ORG-0001",2024-10-22,2024-10-22,2026-09-16,,,paper,USR-020,,DOC-43949,
CNS-00060,CLI-0039,ORG-0001,1,implied,expired,pipa_and_foippa,"case_mgmt,referrals","substance_use,mental_health",all_dsa_agencies,,2026-04-15,2026-04-15,2026-04-17,,,verbal_logged,USR-008,,DOC-89837,
CNS-00061,CLI-0040,ORG-0008,2,explicit,active,pipa,referrals,"family,housing_status,mental_health,medical",all_dsa_agencies,,2023-11-21,2023-11-21,2025-05-20,,,digital_form,USR-032,USR-015,DOC-53076,
CNS-00062,CLI-0041,ORG-0005,3,inherited,active,indigenous_governance,"case_mgmt,research,referrals","financial,family,demographics",all_dsa_agencies,,2026-03-18,2026-03-18,2028-03-12,,,digital_form,USR-026,,DOC-78630,
CNS-00063,CLI-0042,ORG-0009,1,declined_anonymous,active,pipa,"case_mgmt,research",mental_health,all_dsa_agencies,,2025-06-11,2025-06-11,2026-01-07,,,portal,USR-003,,DOC-54036,
CNS-00064,CLI-0042,ORG-0004,3,coordinated_access,superseded,pipa,"research,referrals","financial,demographics,family",anonymous_only,,2025-01-08,2025-01-08,2026-01-03,,2025-09-11,portal,USR-014,,DOC-27235,
CNS-00065,CLI-0043,ORG-0007,2,explicit,active,foippa,coordinated_access,"mental_health,financial,housing_status",all_dsa_agencies,,2025-03-12,2025-03-12,2026-08-29,,,paper,USR-001,,DOC-25945,
CNS-00066,CLI-0044,ORG-0005,2,explicit,withdrawn,pipa,referrals,"substance_use,mental_health,housing_status",single_agency_only,,2026-01-22,2026-01-22,2027-09-18,2026-02-26,,digital_form,USR-029,USR-010,DOC-73526,
CNS-00067,CLI-0044,ORG-0009,1,explicit,withdrawn,pipa_and_foippa,"research,reporting","substance_use,mental_health,housing_status,financial",limited_agencies,"ORG-0006,ORG-0001,ORG-0009",2024-03-25,2024-03-25,2024-10-15,2024-08-11,,paper,USR-037,USR-001,DOC-50810,
CNS-00068,CLI-0045,ORG-0007,3,explicit,withdrawn,pipa,research,"housing_status,family,mental_health,medical",single_agency_only,,2025-12-11,2025-12-11,2026-09-01,2026-04-19,,verbal_logged,USR-001,,DOC-87925,
CNS-00069,CLI-0046,ORG-0001,2,explicit,withdrawn,pipa_and_foippa,"coordinated_access,research","demographics,mental_health",single_agency_only,,2023-08-24,2023-08-24,2024-06-11,2026-02-06,,paper,USR-016,,DOC-31488,
CNS-00070,CLI-0047,ORG-0007,2,explicit,active,indigenous_governance,"research,referrals,reporting","mental_health,substance_use",limited_agencies,"ORG-0001,ORG-0008,ORG-0004,ORG-0007",2025-10-02,2025-10-02,2027-09-05,,,digital_form,USR-011,,DOC-47543,
CNS-00071,CLI-0048,ORG-0009,1,implied,pending,pipa_and_foippa,"research,referrals,case_mgmt","substance_use,financial,family",limited_agencies,"ORG-0002,ORG-0003,ORG-0009",2023-02-24,2023-02-24,2024-12-12,,,paper,USR-014,USR-039,DOC-99010,
CNS-00072,CLI-0049,ORG-0008,3,explicit,active,foippa,"research,reporting,referrals","mental_health,housing_status,financial,substance_use",anonymous_only,,2023-09-03,2023-09-03,2024-11-17,,,digital_form,USR-030,USR-018,DOC-39711,
CNS-00073,CLI-0050,ORG-0003,2,explicit,expired,pipa_and_foippa,"reporting,research,case_mgmt","substance_use,family",limited_agencies,"ORG-0002,ORG-0007,ORG-0001,ORG-0006",2026-01-03,2026-01-03,2026-04-15,,,digital_form,USR-035,,DOC-67199,
CNS-00074,CLI-0051,ORG-0002,3,explicit,active,pipa,"coordinated_access,case_mgmt",housing_status,limited_agencies,"ORG-0006,ORG-0005",2023-02-02,2023-02-02,2024-06-12,,,portal,USR-012,USR-006,DOC-18232,
CNS-00075,CLI-0051,ORG-0009,2,explicit,active,foippa,"reporting,coordinated_access,research","demographics,housing_status,substance_use,family",single_agency_only,,2025-07-16,2025-07-16,2026-04-25,,,paper,USR-014,,DOC-74140,
CNS-00076,CLI-0052,ORG-0009,3,explicit,active,foippa,"referrals,case_mgmt,reporting","financial,family,mental_health",all_dsa_agencies,,2025-10-02,2025-10-02,2026-03-20,,,verbal_logged,USR-022,,DOC-38556,
CNS-00077,CLI-0053,ORG-0009,4,explicit,active,foippa,referrals,"financial,medical,demographics,family",all_dsa_agencies,,2025-01-17,2025-01-17,2026-03-20,,,verbal_logged,USR-028,,DOC-72022,
CNS-00078,CLI-0053,ORG-0009,3,explicit,expired,pipa,"coordinated_access,reporting,research","financial,demographics,substance_use",no_sharing,,2025-04-04,2025-04-04,2025-08-18,,,digital_form,USR-035,,DOC-16922,
CNS-00079,CLI-0054,ORG-0004,2,opt_out,active,pipa,"research,referrals,reporting","demographics,housing_status,family,mental_health",all_dsa_agencies,,2023-06-04,2023-06-04,2024-01-15,,,paper,USR-026,,DOC-96755,
CNS-00080,CLI-0055,ORG-0009,1,declined_anonymous,active,foippa_statutory,,"family,demographics,financial",limited_agencies,"ORG-0003,ORG-0002,ORG-0007",2024-06-30,2024-06-30,2025-06-23,,,portal,USR-035,,DOC-10960,RED_FLAG: foippa_statutory_missing_purpose
CNS-00081,CLI-0056,ORG-0008,4,explicit,withdrawn,pipa_and_foippa,research,"demographics,medical",limited_agencies,"ORG-0004,ORG-0002,ORG-0003",2025-03-09,2025-03-09,2025-09-08,2026-03-31,,paper,USR-011,,DOC-63813,
CNS-00082,CLI-0056,ORG-0007,4,coordinated_access,active,pipa_and_foippa,reporting,"demographics,financial,substance_use",all_dsa_agencies,,2023-10-06,2023-10-06,2025-07-22,,,portal,USR-011,Unknown,DOC-71133,
CNS-00083,CLI-9907,ORG-0005,2,explicit,active,pipa,reporting,"family,medical",all_dsa_agencies,,2024-03-23,2024-03-23,2024-10-24,,,portal,USR-024,N/A,DOC-27931,
CNS-00084,CLI-0057,ORG-0003,4,inherited,active,foippa,reporting,"housing_status,medical,financial,family",limited_agencies,"ORG-0009,ORG-0006,ORG-0005",2025-05-25,2025-05-25,2026-09-12,,,paper,USR-033,,DOC-12524,
CNS-00085,CLI-0058,ORG-0001,2,opt_out,active,pipa,"referrals,case_mgmt,research","medical,mental_health,substance_use,financial",all_dsa_agencies,,2023-11-03,2023-11-03,2025-06-06,,,paper,USR-010,,DOC-44594,
CNS-00086,CLI-0059,ORG-0004,4,coordinated_access,expired,pipa_and_foippa,"reporting,research,coordinated_access","mental_health,substance_use,demographics",all_dsa_agencies,,2025-11-27,2025-11-27,2026-03-20,,,paper,USR-021,USR-021,DOC-71463,
CNS-00087,CLI-0060,ORG-0005,3,explicit,active,pipa,referrals,"housing_status,medical,family",all_dsa_agencies,,2025-09-27,2025-09-27,2027-04-08,,,verbal_logged,USR-028,,DOC-30095,
CNS-00088,CLI-0061,ORG-0002,3,coordinated_access,active,pipa,coordinated_access,"demographics,mental_health,medical",single_agency_only,,2023-03-13,2023-03-13,2023-12-05,,,portal,USR-039,,DOC-12369,
CNS-00089,CLI-0062,ORG-0007,4,explicit,superseded,foippa_statutory,,substance_use,all_dsa_agencies,,2023-12-22,2023-12-22,2024-06-28,,2026-04-06,verbal_logged,USR-040,USR-006,DOC-47277,RED_FLAG: foippa_statutory_missing_purpose
CNS-00090,CLI-0062,ORG-0005,1,explicit,active,pipa,"research,case_mgmt","substance_use,housing_status,financial",single_agency_only,,2024-11-08,2024-11-08,2025-12-23,,,portal,USR-034,USR-007,DOC-47984,
CNS-00091,CLI-0063,ORG-0007,3,coordinated_access,expired,pipa_and_foippa,reporting,housing_status,single_agency_only,"ORG-0007,ORG-0003",2024-10-23,2024-10-23,2026-04-03,,,digital_form,USR-012,,DOC-36815,RED_FLAG: scope_mismatch_seeded
CNS-00092,CLI-0063,ORG-0005,1,explicit,superseded,pipa,case_mgmt,"medical,substance_use",single_agency_only,,2025-01-30,2025-01-30,2026-07-29,,2025-12-01,digital_form,USR-029,USR-016,DOC-18512,
CNS-00093,CLI-0064,ORG-0008,3,explicit,active,foippa,"research,reporting,referrals",substance_use,single_agency_only,,2026-02-15,2026-02-15,2026-10-22,,,verbal_logged,USR-023,USR-012,DOC-98938,
CNS-00094,CLI-0065,ORG-0001,4,explicit,active,pipa_and_foippa,"case_mgmt,referrals,reporting","housing_status,mental_health,demographics",limited_agencies,"ORG-0007,ORG-0004",2024-12-20,2024-12-20,2026-12-18,,,verbal_logged,USR-019,,DOC-38199,
CNS-00095,CLI-0066,ORG-0007,2,inherited,withdrawn,pipa,referrals,"demographics,medical,family",single_agency_only,,2024-11-09,2024-11-09,2026-03-28,2025-10-31,,portal,USR-025,,DOC-50933,
CNS-00096,CLI-0066,ORG-0007,4,inherited,withdrawn,foippa,coordinated_access,"family,medical",all_dsa_agencies,,2024-09-05,2024-09-05,2025-06-03,2026-01-09,,paper,USR-012,USR-015,DOC-62671,
CNS-00097,CLI-0067,ORG-0006,3,implied,superseded,pipa,"referrals,reporting","mental_health,substance_use",all_dsa_agencies,,2025-01-05,2025-01-05,2026-02-09,,2025-06-05,digital_form,USR-009,USR-014,DOC-60458,RED_FLAG: implied_consent_sensitive
CNS-00098,CLI-0068,ORG-0003,2,explicit,active,foippa,coordinated_access,"medical,demographics",no_sharing,,2024-11-17,2024-11-17,2026-02-09,,,digital_form,USR-031,N/A,DOC-87162,
CNS-00099,CLI-0069,ORG-0008,3,explicit,active,foippa_statutory,,"medical,family",limited_agencies,"ORG-0009,ORG-0001,ORG-0002",2025-04-23,2025-04-23,2026-05-29,,,portal,USR-020,USR-011,DOC-54082,RED_FLAG: foippa_statutory_missing_purpose
CNS-00100,CLI-0069,ORG-0004,2,coordinated_access,active,pipa,reporting,"substance_use,medical,family",all_dsa_agencies,,2025-04-10,2025-04-10,2026-05-08,,,digital_form,USR-030,USR-002,DOC-74050,
CNS-00101,CLI-0070,ORG-0001,3,declined_anonymous,superseded,foippa,"reporting,case_mgmt,coordinated_access","substance_use,medical",all_dsa_agencies,,2025-09-22,2025-09-22,2027-06-23,,2026-01-27,verbal_logged,USR-008,,DOC-40217,
CNS-00102,CLI-0070,ORG-0004,3,opt_out,active,pipa_and_foippa,reporting,housing_status,all_dsa_agencies,,2025-06-30,2025-06-30,2027-02-25,,,paper,USR-030,,DOC-88095,
CNS-00103,CLI-0071,ORG-0009,3,explicit,active,foippa,"case_mgmt,coordinated_access,referrals",financial,all_dsa_agencies,,2025-08-18,2025-08-18,2026-06-10,,,portal,USR-019,,DOC-21082,
CNS-00104,CLI-0072,ORG-0002,2,explicit,active,pipa_and_foippa,"research,case_mgmt","financial,housing_status",all_dsa_agencies,,2025-04-17,2025-04-17,2027-03-28,,,portal,USR-040,,DOC-50186,
CNS-00105,CLI-0073,ORG-0008,2,implied,active,foippa,"referrals,research","substance_use,demographics",all_dsa_agencies,,2024-10-13,2024-10-13,2026-03-20,,,digital_form,USR-026,,DOC-37278,
CNS-00106,CLI-0074,ORG-0009,1,explicit,active,foippa_statutory,,"family,financial,demographics,mental_health",all_dsa_agencies,,2023-01-17,2023-01-17,2023-12-08,,,verbal_logged,USR-007,,DOC-26833,RED_FLAG: foippa_statutory_missing_purpose
CNS-00107,CLI-0074,ORG-0003,3,implied,superseded,pipa,coordinated_access,"mental_health,substance_use",all_dsa_agencies,,2023-10-08,2023-10-08,2024-04-30,,2024-06-05,digital_form,USR-036,,DOC-64198,RED_FLAG: implied_consent_sensitive
CNS-00108,CLI-0075,ORG-0004,2,coordinated_access,active,pipa_and_foippa,"research,reporting","substance_use,demographics",all_dsa_agencies,,2023-06-10,2023-06-10,2024-07-06,,,paper,USR-014,,DOC-65218,
CNS-00109,CLI-0076,ORG-0009,3,inherited,active,foippa,"coordinated_access,referrals","family,financial,medical,mental_health",limited_agencies,"ORG-0003,ORG-0007",2025-11-08,2025-11-08,2026-06-16,,,paper,USR-026,,DOC-18764,
CNS-00110,CLI-0076,ORG-0007,4,implied,active,pipa,"research,reporting,case_mgmt","demographics,financial,substance_use,medical",limited_agencies,"ORG-0004,ORG-0003,ORG-0001",2023-03-11,2023-03-11,2024-03-29,,,paper,USR-038,,DOC-60139,
CNS-00111,CLI-0077,ORG-0001,2,coordinated_access,pending,pipa,"case_mgmt,coordinated_access","financial,mental_health,medical",limited_agencies,"ORG-0005,ORG-0002,ORG-0009",2023-11-17,2023-11-17,2025-05-22,,,portal,USR-031,USR-018,DOC-29503,
CNS-00112,CLI-0078,ORG-0002,4,explicit,active,indigenous_governance,"referrals,coordinated_access","financial,demographics,mental_health",all_dsa_agencies,,2025-01-30,2025-01-30,2025-09-05,,2026-01-25,paper,USR-039,N/A,DOC-17501,
CNS-00113,CLI-0079,ORG-0005,3,explicit,withdrawn,foippa,coordinated_access,"medical,mental_health",limited_agencies,"ORG-0002,ORG-0007,ORG-0004,ORG-0003",2023-12-20,2023-12-20,2025-01-08,2025-05-25,,digital_form,USR-011,USR-028,DOC-87594,
CNS-00114,CLI-0080,ORG-0008,4,explicit,active,indigenous_governance,"case_mgmt,referrals,research","financial,mental_health",all_dsa_agencies,,2023-05-10,2023-05-10,2026-03-20,,,paper,USR-018,,DOC-17840,
CNS-00115,CLI-0080,ORG-0008,4,inherited,superseded,pipa,"coordinated_access,research,referrals","family,medical",no_sharing,,2023-06-28,2023-06-28,2024-08-22,,2025-08-20,paper,USR-033,,DOC-82065,
CNS-00116,CLI-0081,ORG-0001,4,implied,active,pipa_and_foippa,"reporting,case_mgmt","demographics,family",all_dsa_agencies,,2024-01-31,2024-01-31,2025-12-20,,,digital_form,USR-018,,DOC-81700,
