referral_id,client_id,referring_org_id,receiving_org_id,referral_source_module,referral_type,referral_reason,referral_priority,status,status_reason,submitted_at,acknowledged_at,decision_at,started_at,completed_at,cancelled_at,consent_record_id,related_service_encounter_id,referred_by_worker_name
REF-00017,CLI-0826,ORG-0005,ORG-0004,External_Portal,coordinated_access,legal_assistance,routine,completed,,2025-08-25 19:27:00,2025-08-27 13:44:00,2025-08-29 01:28:00,2025-08-29 12:08:00,2025-09-21 15:42:00,,CNS-01180,ENC-00195,David Davenport
REF-00018,CLI-0832,ORG-0005,ORG-0003,External_Portal,internal,legal_assistance,urgent,accepted,,2023-12-28 11:35:00,2023-12-29 10:35:00,2023-12-31 10:29:00,2023-12-31 16:40:00,,,CNS-01192,,Steven Rivera
REF-00019,CLI-0023,ORG-0006,ORG-0003,HIFIS_Intake,external,mh_assessment,urgent,completed,,2023-01-17 20:51:00,2023-01-19 14:39:00,2023-01-22 01:15:00,2023-01-25 07:07:00,2023-02-09 05:01:00,,CNS-04948,ENC-00128,Brenda Hinton
REF-00020,CLI-0482,ORG-0007,ORG-0006,CA_Module,internal,crisis_support,routine,submitted,,2026-01-30 07:02:00,,,,,,CNS-02433,,Kathryn Mccann
REF-00021,CLI-0218,ORG-0005,ORG-0006,External_Portal,internal,mh_assessment,urgent,cancelled,no_longer_needed,2025-04-03 20:27:00,2025-04-05 03:40:00,,,,2025-04-11 21:00:00,CNS-03669,,Jeffrey Roberson
REF-00022,CLI-0469,ORG-0001,ORG-0008,CA_Module,coordinated_access,crisis_support,routine,accepted,,2024-06-18 09:05:00,2024-06-18 11:22:00,2024-06-19 17:42:00,2024-06-25 17:10:00,,,CNS-00674,,Randy Friedman
REF-00023,CLI-0106,ORG-0006,ORG-0008,External_Portal,self_referral,mh_assessment,routine,accepted,,2025-06-04 07:41:00,2025-06-05 07:18:00,2025-06-05 18:45:00,2025-06-11 23:28:00,,,CNS-04222,,Raymond Johnson
REF-00024,CLI-0394,ORG-0008,ORG-0005,CA_Module,internal,food_security,urgent,accepted,,2024-01-06 13:23:00,2024-01-08 07:34:00,2024-01-10 19:57:00,2024-01-17 09:35:00,,,CNS-02420,,Willie Henry
REF-00025,CLI-0332,ORG-0001,ORG-0007,CA_Module,self_referral,case_management,routine,completed,,2026-03-26 14:31:00,2026-03-27 14:26:00,2026-03-29 09:52:00,2026-03-29 22:48:00,2026-04-05 04:02:00,,CNS-03231,ENC-00543,Todd Reynolds
REF-00026,CLI-0074,ORG-0008,ORG-0003,CA_Module,coordinated_access,crisis_support,urgent,completed,,2023-09-12 08:54:00,2023-09-12 18:16:00,2023-09-14 16:22:00,2023-09-15 08:04:00,2023-09-26 07:59:00,,CNS-00106,ENC-00315,Mary Miller
REF-00027,CLI-0439,ORG-0003,ORG-0008,External_Portal,coordinated_access,shelter_bed_needed,routine,completed,,2023-05-27 14:33:00,2023-05-29 11:12:00,2023-05-31 03:27:00,2023-06-06 16:24:00,2023-06-17 20:27:00,,CNS-03969,ENC-00087,Rebecca Marquez
REF-00028,CLI-0688,ORG-0007,ORG-0004,External_Portal,external,mh_assessment,routine,accepted,,2023-02-08 09:01:00,2023-02-08 14:56:00,2023-02-09 11:13:00,2023-02-14 11:40:00,,,CNS-02745,,Christian Dawson
REF-00029,CLI-0826,ORG-0004,ORG-0001,External_Portal,coordinated_access,shelter_bed_needed,urgent,completed,,2025-10-28 11:58:00,2025-10-29 21:53:00,2025-11-01 13:38:00,2025-11-05 13:46:00,2025-11-29 11:18:00,,CNS-01794,ENC-00287,Nancy Stewart
REF-00030,CLI-0222,ORG-0007,ORG-0006,External_Portal,coordinated_access,housing_support,routine,accepted,,2024-03-17 16:13:00,2024-03-19 11:38:00,2024-03-20 23:52:00,2024-03-25 14:24:00,,,CNS-00312,,Aaron Parker
REF-00031,CLI-0239,ORG-0002,ORG-0003,HIFIS_Intake,coordinated_access,crisis_support,routine,declined,consent_not_granted,2024-03-31 20:05:00,2024-04-02 05:07:00,2024-04-02 12:38:00,,,,CNS-00336,,Derrick Anderson
REF-00032,CLI-0309,ORG-0005,ORG-0007,CA_Module,coordinated_access,crisis_support,urgent,accepted,,2023-12-21 11:24:00,2023-12-22 04:37:00,2023-12-24 11:11:00,2023-12-29 13:03:00,,,CNS-04021,,Jerry Peters
REF-00033,CLI-0834,ORG-0008,ORG-0005,HIFIS_Intake,external,housing_support,crisis,completed,,2025-02-05 16:41:00,2025-02-06 09:31:00,2025-02-08 01:27:00,2025-02-13 19:08:00,2025-03-01 01:15:00,,CNS-01194,ENC-00422,Alexander Gomez
REF-00034,CLI-0457,ORG-0008,ORG-0005,CA_Module,coordinated_access,shelter_bed_needed,urgent,completed,,2024-05-06 21:26:00,2024-05-08 11:59:00,2024-05-11 05:52:00,2024-05-14 11:12:00,2024-05-15 15:31:00,,CNS-00661,ENC-00720,Kyle Nguyen
REF-00035,CLI-0492,ORG-0007,ORG-0009,HIFIS_Intake,coordinated_access,housing_support,routine,accepted,,2025-06-30 16:05:00,2025-06-30 21:46:00,2025-07-02 18:03:00,2025-07-08 03:12:00,,,CNS-00708,,Edgar Hughes
REF-00036,CLI-0061,ORG-0001,ORG-0002,CA_Module,coordinated_access,legal_assistance,routine,declined,client_ineligible,2025-04-17 18:46:00,2025-04-19 05:49:00,2025-04-20 03:17:00,,,,CNS-02081,,Steven Stein
REF-00037,CLI-0251,ORG-0009,ORG-0006,External_Portal,self_referral,shelter_bed_needed,routine,declined,consent_not_granted,2024-05-18 12:58:00,2024-05-19 03:08:00,2024-05-19 21:54:00,,,,CNS-04821,,Laura Jackson
REF-00038,CLI-0038,ORG-0005,ORG-0009,CA_Module,external,legal_assistance,crisis,submitted,,2023-06-11 14:52:00,,,,,,CNS-00059,,Charles Turner
REF-00039,CLI-0432,ORG-0002,ORG-0003,HIFIS_Referral,coordinated_access,legal_assistance,urgent,declined,capacity_full,2025-10-24 19:53:00,2025-10-25 17:50:00,2025-10-26 05:48:00,,,,CNS-03461,,Arthur Hamilton MD
REF-00040,CLI-0515,ORG-0004,ORG-0009,External_Portal,external,shelter_bed_needed,routine,completed,,2025-05-23 16:30:00,2025-05-24 23:37:00,2025-05-27 10:39:00,2025-05-28 12:32:00,2025-06-20 19:22:00,,CNS-02376,ENC-00682,Mr. David Wright
REF-00041,CLI-0288,ORG-0008,ORG-0007,HIFIS_Intake,external,legal_assistance,urgent,accepted,,2025-02-24 11:45:00,2025-02-26 06:10:00,2025-02-26 09:19:00,2025-03-02 15:38:00,,,CNS-02772,,Linda Gonzalez
REF-00042,CLI-0615,ORG-0006,ORG-0001,External_Portal,coordinated_access,case_management,urgent,accepted,,2025-10-13 16:54:00,2025-10-13 18:35:00,2025-10-15 14:39:00,2025-10-18 19:07:00,,,CNS-02766,,Eric Rush
REF-00043,CLI-0179,ORG-0003,ORG-0002,HIFIS_Intake,internal,mh_assessment,routine,accepted,,2025-12-25 08:19:00,2025-12-26 17:53:00,2025-12-28 12:52:00,2026-01-02 16:32:00,,,CNS-00255,,Manuel Brock
REF-00044,CLI-0260,ORG-0008,ORG-0006,HIFIS_Referral,self_referral,detox_request,routine,pending,,2023-01-06 15:18:00,2023-01-06 22:50:00,,,,,CNS-02423,,George Ochoa
REF-00045,CLI-0740,ORG-0004,ORG-0009,HIFIS_Referral,self_referral,legal_assistance,urgent,declined,client_ineligible,2025-04-12 22:30:00,2025-04-13 19:38:00,2025-04-14 09:40:00,,,,CNS-04469,,Valerie Taylor
REF-00046,CLI-0079,ORG-0009,ORG-0004,CA_Module,external,mh_assessment,routine,submitted,,2025-02-04 20:49:00,,,,,,CNS-02502,,Travis Harris
REF-00047,CLI-0358,ORG-0004,ORG-0007,CA_Module,coordinated_access,mh_assessment,urgent,declined,other,2025-09-28 17:21:00,2025-09-30 12:21:00,2025-09-30 21:15:00,,,,CNS-02582,,Vincent Novak
REF-00048,CLI-0175,ORG-0009,ORG-0007,HIFIS_Intake,self_referral,mh_assessment,urgent,accepted,,2023-08-15 18:48:00,2023-08-17 13:40:00,2023-08-18 14:56:00,2023-08-21 02:10:00,,,CNS-02335,,Michael Henry
REF-00049,CLI-0602,ORG-0004,ORG-0006,HIFIS_Referral,coordinated_access,case_management,crisis,accepted,,2023-07-07 08:46:00,2023-07-07 13:03:00,2023-07-08 16:49:00,2023-07-14 18:49:00,,,CNS-00865,,Dana Bennett
REF-00050,CLI-0194,ORG-0005,ORG-0003,External_Portal,coordinated_access,housing_support,crisis,cancelled,no_longer_needed,2023-12-21 12:06:00,2023-12-23 11:38:00,,,,2023-12-30 10:13:00,CNS-03689,,Jenna Wilson
REF-00051,CLI-0782,ORG-0001,ORG-0003,HIFIS_Referral,internal,case_management,routine,pending,,2023-11-13 13:18:00,2023-11-13 19:59:00,,,,,CNS-01970,,Leslie Gardner
REF-00052,CLI-0091,ORG-0004,ORG-0005,CA_Module,internal,housing_support,urgent,submitted,,2024-12-30 08:04:00,,,,,,CNS-00134,,Krista Benton
REF-00053,CLI-0061,ORG-0005,ORG-0006,HIFIS_Referral,external,case_management,routine,submitted,,2023-06-30 10:57:00,,,,,,CNS-00088,,Michael Gonzales
REF-00054,CLI-0370,ORG-0009,ORG-0005,HIFIS_Referral,coordinated_access,detox_request,routine,declined,out_of_catchment,2025-07-24 20:15:00,2025-07-25 17:36:00,2025-07-27 15:02:00,,,,CNS-04828,,Michael Fuentes
REF-00055,CLI-0612,ORG-0002,ORG-0004,HIFIS_Referral,external,mh_assessment,urgent,accepted,,2024-06-30 08:26:00,2024-07-01 05:52:00,2024-07-01 18:04:00,2024-07-02 22:41:00,,,CNS-00880,,Jennifer Porter
REF-00056,CLI-0712,ORG-0007,ORG-0008,HIFIS_Referral,external,crisis_support,routine,declined,client_ineligible,2023-09-10 11:26:00,2023-09-11 22:18:00,2023-09-12 16:29:00,,,,CNS-01027,,Dana Hopkins
REF-00057,CLI-0365,ORG-0007,ORG-0003,HIFIS_Referral,coordinated_access,shelter_bed_needed,routine,declined,other,2023-10-27 13:40:00,2023-10-28 08:39:00,2023-10-31 05:26:00,,,,CNS-03805,,Rachel Jones
REF-00058,CLI-0354,ORG-0004,ORG-0003,HIFIS_Intake,internal,shelter_bed_needed,urgent,declined,capacity_full,2024-12-21 11:35:00,2024-12-23 06:54:00,2024-12-25 22:08:00,,,,CNS-01637,,Karen Morales DDS
REF-00059,CLI-0048,ORG-0008,ORG-0005,CA_Module,internal,legal_assistance,urgent,accepted,,2023-09-21 13:35:00,2023-09-22 21:41:00,2023-09-23 15:21:00,2023-09-25 07:22:00,,,CNS-02391,,Melissa Stephens
REF-00060,CLI-0191,ORG-0001,ORG-0007,HIFIS_Intake,internal,case_management,routine,declined,client_ineligible,2025-11-22 19:02:00,2025-11-23 15:11:00,2025-11-23 20:05:00,,,,CNS-01505,,Heather Woodard
REF-00061,CLI-0802,ORG-0006,ORG-0005,CA_Module,external,food_security,routine,completed,,2025-03-28 17:02:00,2025-03-30 09:05:00,2025-03-30 13:15:00,2025-04-02 11:58:00,2025-04-06 08:05:00,,CNS-01148,ENC-00304,Margaret Miller
REF-00062,CLI-0210,ORG-0001,ORG-0003,External_Portal,coordinated_access,case_management,routine,completed,,2024-12-26 11:14:00,2024-12-27 22:52:00,2024-12-30 19:03:00,2025-01-05 20:30:00,2025-01-29 01:05:00,,CNS-03870,ENC-00481,Mary Kelly
REF-00063,CLI-0356,ORG-0007,ORG-0004,HIFIS_Intake,coordinated_access,shelter_bed_needed,routine,submitted,,2023-04-18 11:56:00,,,,,,CNS-00510,,Amanda Terrell
REF-00064,CLI-0091,ORG-9569,ORG-0005,HIFIS_Referral,internal,shelter_bed_needed,routine,accepted,,2024-07-26 15:42:00,2024-07-27 22:43:00,2024-07-28 10:35:00,2024-08-04 00:45:00,,,CNS-03140,,Jennifer Goodwin
REF-00065,CLI-0213,ORG-0006,ORG-0002,CA_Module,internal,mh_assessment,urgent,completed,,2025-12-03 17:46:00,2025-12-04 11:03:00,2025-12-05 11:03:00,2025-12-11 23:04:00,2025-12-25 04:39:00,,CNS-04599,ENC-00454,Jessica Smith
REF-00066,CLI-0266,ORG-0008,ORG-0001,HIFIS_Intake,external,legal_assistance,routine,completed,,2025-06-21 14:37:00,2025-06-22 15:35:00,2025-06-23 05:16:00,2025-06-27 21:24:00,2025-07-19 12:23:00,,CNS-02863,ENC-00242,Jorge Stone
REF-00067,CLI-0747,ORG-0004,ORG-0003,HIFIS_Intake,external,detox_request,routine,declined,client_ineligible,2025-11-24 20:53:00,2025-11-25 20:01:00,2025-11-28 00:53:00,,,,CNS-02212,,Laura Griffin
REF-00068,CLI-0163,ORG-0009,ORG-0003,External_Portal,coordinated_access,legal_assistance,crisis,cancelled,client_withdrew,2023-08-15 11:15:00,2023-08-16 13:14:00,,,,2023-08-18 22:59:00,CNS-01899,,Raymond Chapman
REF-00069,CLI-0438,ORG-0009,ORG-0005,CA_Module,coordinated_access,legal_assistance,urgent,declined,consent_not_granted,2025-10-11 19:17:00,2025-10-12 17:53:00,2025-10-14 00:45:00,,,,CNS-00635,,Haley Johnson
REF-00070,CLI-0589,ORG-0008,ORG-0006,CA_Module,external,detox_request,routine,pending,,2024-02-15 22:20:00,2024-02-16 22:21:00,,,,,CNS-03954,,Jason Nixon
REF-00071,CLI-0516,ORG-0008,ORG-0005,External_Portal,coordinated_access,detox_request,routine,accepted,,2024-07-20 09:45:00,2024-07-22 05:40:00,2024-07-23 22:24:00,2024-07-29 22:41:00,,,CNS-00740,,Todd Thomas
REF-00072,CLI-0439,ORG-0008,ORG-0006,External_Portal,external,legal_assistance,urgent,completed,,2023-08-30 22:27:00,2023-08-31 16:30:00,2023-09-02 15:11:00,2023-09-05 04:51:00,2023-09-17 10:49:00,,CNS-02468,ENC-00416,Jesse Clark
REF-00073,CLI-0074,ORG-0006,ORG-0008,HIFIS_Intake,external,detox_request,routine,accepted,,2025-04-05 20:15:00,2025-04-05 21:17:00,2025-04-06 05:05:00,2025-04-12 16:03:00,,,CNS-01538,,Mr. Jeffrey Horton
REF-00074,CLI-0063,ORG-0002,ORG-0008,CA_Module,coordinated_access,housing_support,urgent,completed,,2024-11-01 11:11:00,2024-11-02 06:51:00,2024-11-03 03:35:00,2024-11-04 14:33:00,2024-11-28 12:15:00,,CNS-04550,ENC-00767,Eric Patrick
REF-00075,CLI-0313,ORG-0003,ORG-0009,CA_Module,internal,housing_support,routine,accepted,,2024-06-04 08:05:00,2024-06-06 03:50:00,2024-06-09 01:56:00,2024-06-09 11:36:00,,,CNS-00442,,Samuel Wong
REF-00076,CLI-0202,ORG-0005,ORG-0001,External_Portal,external,crisis_support,urgent,submitted,,2024-03-24 14:23:00,,,,,,CNS-02869,,Carly Riggs
REF-00077,CLI-0107,ORG-0006,ORG-0007,External_Portal,coordinated_access,case_management,routine,accepted,,2023-02-02 11:57:00,2023-02-03 15:16:00,2023-02-03 21:51:00,2023-02-08 21:47:00,,,CNS-00151,,Christopher Moore
REF-00078,CLI-0649,ORG-0003,ORG-0009,HIFIS_Referral,internal,detox_request,urgent,pending,,2024-02-27 16:39:00,2024-02-29 08:17:00,,,,,CNS-00938,,Tina Hall
REF-00079,CLI-0728,ORG-0009,ORG-0006,CA_Module,external,mh_assessment,urgent,accepted,,2024-03-21 07:43:00,2024-03-22 18:09:00,2024-03-25 09:08:00,2024-03-29 06:31:00,,,CNS-02677,,Cody Davidson
REF-00080,CLI-0163,ORG-0007,ORG-0003,HIFIS_Referral,coordinated_access,legal_assistance,routine,accepted,,2025-01-29 15:18:00,2025-01-30 18:47:00,2025-01-30 20:07:00,2025-02-04 22:21:00,,,CNS-01425,,Allen Mendez
REF-00081,CLI-0085,ORG-0002,ORG-0003,HIFIS_Intake,external,mh_assessment,routine,accepted,,2023-05-21 15:19:00,2023-05-21 22:22:00,2023-05-23 17:15:00,2023-05-30 14:41:00,,,CNS-00120,,Kevin Price
REF-00082,CLI-0440,ORG-0005,ORG-0003,External_Portal,external,legal_assistance,urgent,accepted,,2024-05-15 17:42:00,2024-05-17 09:08:00,2024-05-20 03:06:00,2024-05-23 05:54:00,,,CNS-02280,,Christine Goodwin
REF-00083,CLI-0389,ORG-0006,ORG-0001,HIFIS_Referral,external,case_management,routine,accepted,,2024-03-06 16:14:00,2024-03-07 22:13:00,2024-03-10 15:29:00,2024-03-16 06:30:00,,,CNS-03761,,Amy Garcia
REF-00084,CLI-0820,ORG-0003,ORG-0004,HIFIS_Referral,external,legal_assistance,urgent,cancelled,no_longer_needed,2024-06-28 08:31:00,2024-06-29 12:39:00,,,,2024-07-02 06:57:00,CNS-01173,,Chelsea Nguyen
REF-00085,CLI-0608,ORG-0008,ORG-0009,External_Portal,external,housing_support,routine,pending,,2023-04-08 17:41:00,2023-04-09 11:24:00,,,,,CNS-02606,,Dennis Huffman
REF-00086,CLI-0785,ORG-0005,ORG-0006,CA_Module,external,mh_assessment,routine,pending,,2025-09-17 18:23:00,2025-09-19 02:51:00,,,,,CNS-03578,,Margaret Harper
REF-00087,CLI-0229,ORG-0006,ORG-0005,HIFIS_Intake,external,legal_assistance,urgent,declined,consent_not_granted,2025-09-26 19:34:00,2025-09-27 18:30:00,2025-09-29 22:34:00,,,,CNS-01471,,Laurie Bailey
REF-00088,CLI-0156,ORG-0004,ORG-0003,CA_Module,self_referral,mh_assessment,crisis,accepted,,2024-12-16 18:31:00,2024-12-18 11:49:00,2024-12-20 05:58:00,2024-12-25 19:40:00,,,CNS-02838,,Lisa Cervantes
REF-00089,CLI-0670,ORG-0007,ORG-0008,HIFIS_Intake,external,housing_support,urgent,submitted,,2024-06-21 10:49:00,,,,,,CNS-00972,,Elizabeth Mendez
REF-00090,CLI-0219,ORG-0005,ORG-0009,HIFIS_Referral,internal,crisis_support,routine,submitted,,2023-07-28 21:40:00,,,,,,CNS-00309,,Cesar Wilson
REF-00091,CLI-0686,ORG-0008,ORG-0004,External_Portal,internal,crisis_support,routine,completed,,2026-03-17 08:33:00,2026-03-17 23:50:00,2026-03-20 21:00:00,2026-03-24 02:53:00,2026-04-10 03:08:00,,CNS-02353,ENC-00744,Clayton Steele
REF-00092,CLI-0027,ORG-0004,ORG-0008,HIFIS_Referral,external,shelter_bed_needed,routine,pending,,2024-12-13 07:42:00,2024-12-13 10:53:00,,,,,CNS-01297,,Jennifer Taylor
REF-00093,CLI-0393,ORG-0008,ORG-0005,External_Portal,self_referral,detox_request,routine,accepted,,2025-06-04 12:33:00,2025-06-05 10:23:00,2025-06-07 06:13:00,2025-06-08 09:26:00,,,CNS-00564,,Cody Reid
REF-00094,CLI-0113,ORG-0006,ORG-0004,External_Portal,external,housing_support,urgent,declined,client_ineligible,2026-04-13 19:43:00,2026-04-14 13:16:00,2026-04-16 14:27:00,,,,CNS-04074,,Maria Cooke
REF-00095,CLI-0377,ORG-0006,ORG-0008,HIFIS_Referral,self_referral,housing_support,routine,submitted,,2023-09-20 13:17:00,,,,,,CNS-00542,,Katherine Taylor
REF-00096,CLI-0821,ORG-0006,ORG-0002,CA_Module,self_referral,housing_support,urgent,completed,,2023-06-02 08:38:00,2023-06-03 17:05:00,2023-06-05 12:23:00,2023-06-07 09:55:00,2023-06-29 20:51:00,,CNS-04100,ENC-00317,Jerry Brown
REF-00097,CLI-0443,ORG-0007,ORG-0004,HIFIS_Referral,coordinated_access,crisis_support,urgent,accepted,,2026-03-08 09:44:00,2026-03-09 04:31:00,2026-03-09 08:34:00,2026-03-11 14:35:00,,,CNS-03405,,Adam Taylor
REF-00098,CLI-0690,ORG-0004,ORG-0007,HIFIS_Intake,self_referral,case_management,routine,completed,,2025-01-17 11:24:00,2025-01-17 13:37:00,2025-01-20 12:44:00,2025-01-22 12:46:00,2025-02-07 04:05:00,,CNS-04058,ENC-00015,Tracey Wagner
REF-00099,CLI-0243,ORG-0008,ORG-0005,HIFIS_Intake,internal,detox_request,urgent,cancelled,duplicate_request,2025-12-07 10:05:00,2025-12-07 19:12:00,,,,2025-12-09 06:46:00,CNS-03912,,Michael Perry PhD
REF-00100,CLI-0331,ORG-0003,ORG-0008,CA_Module,external,food_security,routine,submitted,,2024-09-18 17:28:00,,,,,,CNS-04813,,Bradley Johnson DDS
REF-00101,CLI-0387,ORG-0006,ORG-0004,HIFIS_Referral,coordinated_access,legal_assistance,urgent,pending,,2024-10-11 09:07:00,2024-10-12 21:10:00,,,,,CNS-02216,,Donald Medina
REF-00102,CLI-0088,ORG-0004,ORG-0008,External_Portal,coordinated_access,case_management,routine,completed,,2023-02-07 11:03:00,2023-02-08 01:37:00,2023-02-08 16:18:00,2023-02-15 10:45:00,2023-02-25 08:06:00,,CNS-00125,ENC-00220,Jim Newton
REF-00103,CLI-0526,ORG-0005,ORG-0002,HIFIS_Intake,internal,legal_assistance,urgent,accepted,,2024-06-16 11:10:00,2024-06-16 13:34:00,2024-06-17 00:44:00,2024-06-20 00:30:00,,,CNS-04783,,Krista Wilson
REF-00104,CLI-0274,ORG-0001,ORG-0003,HIFIS_Referral,external,case_management,routine,pending,,2026-01-14 19:00:00,2026-01-15 08:51:00,,,,,CNS-03935,,Reginald Morrow
REF-00105,CLI-0299,ORG-0008,ORG-0009,HIFIS_Referral,self_referral,housing_support,routine,submitted,,2025-05-13 22:27:00,,,,,,CNS-04482,,Rodney Williams
REF-00106,CLI-0795,ORG-0008,ORG-0007,External_Portal,internal,mh_assessment,urgent,pending,,2023-01-06 22:44:00,2023-01-07 03:43:00,,,,,CNS-02753,,Kimberly Fritz
REF-00107,CLI-0511,ORG-0003,ORG-0001,External_Portal,coordinated_access,housing_support,routine,accepted,,2025-11-23 08:42:00,2025-11-24 05:39:00,2025-11-24 20:42:00,2025-11-30 14:00:00,,,CNS-04857,,Ronald Potter
REF-00108,CLI-0046,ORG-0004,ORG-0003,HIFIS_Referral,external,food_security,routine,accepted,,2025-08-14 09:25:00,2025-08-14 12:26:00,2025-08-16 09:31:00,2025-08-19 01:00:00,,,CNS-04066,,Zachary Cole
REF-00109,CLI-0816,ORG-0001,ORG-0009,HIFIS_Referral,external,legal_assistance,routine,declined,capacity_full,2023-09-25 10:45:00,2023-09-27 03:56:00,2023-09-29 18:27:00,,,,CNS-01165,,Robert Gonzales
REF-00110,CLI-0573,ORG-0002,ORG-0005,CA_Module,self_referral,mh_assessment,routine,accepted,,2026-04-01 07:29:00,2026-04-02 02:54:00,2026-04-03 03:48:00,2026-04-04 12:29:00,,,CNS-01240,,Patricia Young PhD
REF-00111,CLI-0613,ORG-0004,ORG-0008,CA_Module,coordinated_access,shelter_bed_needed,urgent,cancelled,other,2023-10-15 20:36:00,2023-10-15 22:48:00,,,,2023-10-22 05:35:00,CNS-01648,,Heather Page
REF-00112,CLI-0145,ORG-0004,ORG-0005,CA_Module,external,legal_assistance,routine,completed,,2024-04-17 16:12:00,2024-04-19 15:17:00,2024-04-20 03:34:00,2024-04-20 05:13:00,2024-05-08 20:08:00,,CNS-00207,ENC-00427,Carol Taylor
REF-00113,CLI-0087,ORG-0008,ORG-0005,CA_Module,internal,mh_assessment,routine,accepted,,2026-03-21 18:07:00,2026-03-21 20:23:00,2026-03-22 19:37:00,2026-03-23 18:22:00,,,CNS-00123,,Daniel Brown
REF-00114,CLI-0155,ORG-0009,ORG-0004,HIFIS_Referral,self_referral,legal_assistance,routine,pending,,2025-01-22 22:36:00,2025-01-24 14:34:00,,,,,CNS-00222,,Douglas Ryan
REF-00115,CLI-0828,ORG-0008,ORG-0002,CA_Module,internal,food_security,routine,accepted,,2024-01-29 20:32:00,2024-01-31 03:52:00,2024-01-31 12:38:00,2024-02-07 01:38:00,,,CNS-04478,,Michael Roberts
